episode,reward,length,on_time,late,conflicts,completed,total_trains,on_time_pct,avg_delay
1,-93.65,144,0,7,11,7,8,0.0,5.12
2,-8.4,144,2,4,11,6,8,25.0,5.38
3,-88.8,144,0,7,19,7,8,0.0,8.75
4,-14.9,141,1,7,12,8,8,12.5,6.12
5,-160.5,144,0,5,12,5,8,0.0,6.5
6,-88.8,144,0,4,13,4,8,0.0,7.88
7,-73.25,144,0,7,10,7,8,0.0,6.25
8,-58.85,144,1,5,4,6,8,12.5,1.88
9,-99.95,144,0,7,16,7,8,0.0,7.12
10,-42.85,141,0,8,17,8,8,0.0,9.0
11,-54.4,144,0,4,7,4,8,0.0,3.88
12,7.3,144,2,5,10,7,8,25.0,6.0
13,-57.65,144,1,5,14,6,8,12.5,6.38
14,-64.85,144,0,6,9,6,8,0.0,6.0
15,-32.15,141,1,7,5,8,8,12.5,4.0
16,26.55,132,1,7,13,8,8,12.5,7.5
17,-30.2,144,1,4,11,5,8,12.5,4.75
18,-153.9,144,0,4,11,4,8,0.0,6.12
19,-29.35,141,0,8,6,8,8,0.0,4.5
20,-40.05,144,1,6,15,7,8,12.5,7.75
21,38.25,142,2,6,9,8,8,25.0,5.12
22,-18.55,140,0,8,11,8,8,0.0,5.62
23,-82.65,144,0,4,10,4,8,0.0,5.0
24,38.35,137,3,5,9,8,8,37.5,5.0
25,60.95,136,1,7,4,8,8,12.5,2.75
26,19.4,139,1,7,9,8,8,12.5,5.62
27,-111.3,144,1,5,12,6,8,12.5,6.0
28,-58.6,144,1,5,7,6,8,12.5,3.75
29,37.55,140,2,6,9,8,8,25.0,5.5
30,-85.65,144,0,6,11,6,8,0.0,5.62
31,0.2,140,1,7,6,8,8,12.5,3.25
32,-73.25,144,0,5,12,5,8,0.0,7.62
33,-23.75,143,0,8,13,8,8,0.0,6.12
34,8.1,139,2,6,10,8,8,25.0,5.5
35,-28.55,144,1,6,9,7,8,12.5,4.12
36,30.35,135,2,6,12,8,8,25.0,5.5
37,-30.1,141,1,7,10,8,8,12.5,5.5
38,-53.1,144,1,3,7,4,8,12.5,4.62
39,-114.05,144,0,5,16,5,8,0.0,8.62
40,-45.55,144,0,7,13,7,8,0.0,6.5
41,-12.8,144,2,4,10,6,8,25.0,4.88
42,-58.15,144,1,4,18,5,8,12.5,8.0
43,-165.7,144,0,2,12,2,8,0.0,5.62
44,-154.45,144,0,4,13,4,8,0.0,6.0
45,90.15,134,3,5,10,8,8,37.5,4.62
46,-139.4,144,0,4,16,4,8,0.0,8.0
47,-118.7,144,0,5,8,5,8,0.0,5.12
48,-22.0,144,2,5,15,7,8,25.0,8.25
49,74.1,144,2,6,11,8,8,25.0,4.75
50,17.1,138,2,6,13,8,8,25.0,6.38
51,-65.5,144,1,6,16,7,8,12.5,7.62
52,-37.4,144,1,6,7,7,8,12.5,4.12
53,-43.15,144,1,6,11,7,8,12.5,7.5
54,-19.9,144,2,5,16,7,8,25.0,7.0
55,-50.95,135,0,8,14,8,8,0.0,6.75
56,44.15,141,2,6,15,8,8,25.0,7.0
57,-83.5,144,1,3,16,4,8,12.5,7.38
58,54.25,141,2,6,9,8,8,25.0,4.38
59,-50.3,144,1,6,10,7,8,12.5,5.5
60,57.15,130,1,7,10,8,8,12.5,4.5
61,-36.8,144,1,4,10,5,8,12.5,6.0
62,-71.15,144,0,6,10,6,8,0.0,5.0
63,-3.45,144,1,7,6,8,8,12.5,4.62
64,-98.25,144,0,4,6,4,8,0.0,5.25
65,-36.05,144,2,5,6,7,8,25.0,3.25
66,-28.35,143,0,8,9,8,8,0.0,5.5
67,-34.85,144,1,6,11,7,8,12.5,7.0
68,1.55,144,2,4,17,6,8,25.0,7.38
69,35.25,144,3,4,8,7,8,37.5,5.25
70,-84.95,144,0,6,12,6,8,0.0,6.5
71,-77.05,144,0,7,10,7,8,0.0,5.75
72,-65.55,144,1,6,11,7,8,12.5,6.0
73,-81.15,144,0,6,13,6,8,0.0,6.5
74,2.1,144,2,5,13,7,8,25.0,5.88
75,-9.75,144,1,6,16,7,8,12.5,7.25
76,79.15,137,3,5,13,8,8,37.5,6.38
77,0.1,140,1,7,10,8,8,12.5,4.88
78,-86.75,144,0,4,11,4,8,0.0,5.75
79,-130.45,144,0,4,8,4,8,0.0,3.5
80,-56.4,144,1,5,11,6,8,12.5,5.38
81,-31.55,144,1,5,9,6,8,12.5,5.5
82,-7.7,138,0,8,9,8,8,0.0,5.38
83,44.6,144,3,5,9,8,8,37.5,4.75
84,-41.1,144,1,6,8,7,8,12.5,4.75
85,-130.3,144,0,4,8,4,8,0.0,3.75
86,-15.55,141,2,6,12,8,8,25.0,7.0
87,-151.15,144,1,5,10,6,8,12.5,5.25
88,-45.65,144,1,6,13,7,8,12.5,6.62
89,-95.55,144,0,5,11,5,8,0.0,7.0
90,-1.8,144,2,5,10,7,8,25.0,4.62
91,-32.15,144,1,6,11,7,8,12.5,5.75
92,-139.2,144,1,4,6,5,8,12.5,4.75
93,-93.9,144,0,5,11,5,8,0.0,5.5
94,19.15,142,1,7,5,8,8,12.5,3.88
95,-143.55,144,0,5,20,5,8,0.0,9.25
96,-92.8,144,0,6,13,6,8,0.0,6.12
97,-23.05,143,1,7,11,8,8,12.5,6.5
98,-106.4,144,0,7,15,7,8,0.0,6.88
99,-98.95,144,0,7,8,7,8,0.0,4.62
100,-99.35,144,0,5,7,5,8,0.0,4.0
